"game_id","home_team_name","away_team_name","home_team_spread","home_final","away_final","quarters","total_line","total","result","sgp_hit","sgp_ins"
401468016,"Boston","Philadelphia",3,126,117,4,216,243,9,0,1
401468017,"Golden State","Los Angeles",7.5,123,109,4,223.5,232,14,1,0
401468018,"Detroit","Orlando",3,113,109,4,217,222,4,1,0
401468019,"Indiana","Washington",-2.5,107,114,4,227,221,-7,1,0
401468020,"Atlanta","Houston",10,117,107,4,234.5,224,10,0,1
401468021,"Brooklyn","New Orleans",2.5,108,130,4,231.5,238,-22,0,1
401468022,"Miami","Chicago",7.5,108,116,4,216,224,-8,0,1
401468023,"Toronto","Cleveland",2.5,108,105,4,216,213,3,1,0
401468024,"Memphis","New York",4.5,115,112,5,226.5,227,3,1,0
401468025,"Minnesota","Oklahoma City",10.5,115,108,4,225,223,7,1,0
401468026,"San Antonio","Charlotte",-1,102,129,4,221.5,231,-27,0,0
401468027,"Utah","Denver",-7,123,102,4,225,225,21,0,1
401468028,"Phoenix","Dallas",4,107,105,4,218,212,2,1,0
401468029,"Sacramento","Portland",3,109,115,4,229,224,-6,1,0
401468170,"Philadelphia","Milwaukee",4,88,90,4,224,178,-2,0,1
401468171,"Los Angeles","LA",-4.5,97,103,4,226.5,200,-6,0,1
401468172,"Charlotte","New Orleans",-7,112,124,4,226,236,-12,0,1
401468173,"Indiana","San Antonio",1.5,134,137,4,232,271,-3,0,1
401468174,"Washington","Chicago",2.5,102,100,4,222,202,2,0,1
401468175,"Atlanta","Orlando",9,108,98,4,225.5,206,10,0,1
401468176,"Brooklyn","Toronto",2.5,109,105,4,227,214,4,0,1
401468177,"Miami","Boston",-2.5,104,111,4,219,215,-7,1,0
401468178,"New York","Detroit",7,130,106,4,219.5,236,24,0,0
401468179,"Houston","Memphis",-7,122,129,4,232.5,251,-7,0,1
401468180,"Minnesota","Utah",8,126,132,5,226,258,-6,0,0
401468181,"Golden State","Denver",5.5,123,128,4,229.5,251,-5,0,0
401468182,"Portland","Phoenix",-5.5,113,111,5,224,224,2,1,0
401468183,"Philadelphia","San Antonio",13.5,105,114,4,224.5,219,-9,0,1
401468184,"Indiana","Detroit",-1.5,124,115,4,229.5,239,9,0,0
401468185,"Orlando","Boston",-8.5,120,126,4,216,246,-6,0,1
401468186,"Miami","Toronto",3.5,112,109,4,216,221,3,1,0
401468187,"Chicago","Cleveland",-1.5,96,128,4,220,224,-32,0,1
401468188,"Milwaukee","Houston",13,125,105,4,228.5,230,20,1,0
401468189,"Dallas","Memphis",5.5,138,96,4,220,234,42,0,0
401468190,"Denver","Oklahoma City",9,122,117,4,227,239,5,0,1
401468191,"Sacramento","LA",-2.5,109,111,4,225.5,220,-2,1,0
401468192,"Los Angeles","Portland",4,104,106,4,225.5,210,-2,0,1
401468193,"Atlanta","Charlotte",10,109,126,4,228.5,235,-17,0,1
401468194,"Cleveland","Washington",3.5,117,107,5,216.5,224,10,1,0
401468195,"New Orleans","Utah",8.5,121,122,5,231,243,-1,0,0
401468196,"Oklahoma City","Minnesota",-9.5,106,116,4,227.5,222,-10,1,0
401468197,"Golden State","Sacramento",10,130,125,4,232.5,255,5,0,1
401468198,"LA","Phoenix",-1,95,112,4,219,207,-17,0,0
401468199,"Philadelphia","Indiana",12.5,120,106,4,229,226,14,1,0
401468200,"Miami","Toronto",3.5,90,98,4,215,188,-8,0,0
401468201,"New York","Orlando",7.5,115,102,4,222,217,13,1,0
401468202,"Chicago","Boston",-5.5,120,102,4,225.5,222,18,0,1
401468203,"Houston","Utah",-2.5,114,108,4,234.5,222,6,0,1
401468204,"Memphis","Brooklyn",1.5,134,124,4,234,258,10,0,1
401468205,"Minnesota","San Antonio",8.5,106,115,4,234.5,221,-9,0,0
401468206,"Portland","Denver",-5,135,110,4,227.5,245,25,0,0
401468207,"Washington","Detroit",5.5,120,99,4,221,219,21,0,1
401468208,"New Orleans","Dallas",-5,113,111,4,218.5,224,2,1,0
401468209,"Oklahoma City","LA",-5.5,108,94,4,217,202,14,0,0
401468210,"Phoenix","Golden State",1.5,134,105,4,227,239,29,0,0
401468211,"Cleveland","Orlando",8.5,103,93,4,216,196,10,0,1
401468212,"Detroit","Atlanta",-7.5,113,118,4,230,231,-5,1,0
401468213,"New York","Charlotte",7.5,134,131,5,225,265,3,0,1
401468214,"Toronto","Philadelphia",-1.5,119,109,4,211.5,228,10,0,0
401468215,"Milwaukee","Brooklyn",3.5,110,99,4,231,209,11,0,1
401468216,"Chicago","Indiana",7,124,109,4,233.5,233,15,1,0
401468217,"Minnesota","San Antonio",9.5,134,122,4,235,256,12,0,1
401468218,"Utah","Houston",8.5,109,101,4,232.5,210,8,0,1
401468219,"Denver","Los Angeles",5,110,99,4,230.5,209,11,0,1
401468220,"Portland","Miami",-2.5,98,119,4,220.5,217,-21,0,1
401468221,"Brooklyn","Dallas",-3,125,129,5,224.5,254,-4,0,1
401468222,"Oklahoma City","LA",-7,118,110,4,218.5,228,8,0,0
401468223,"Golden State","Miami",5.5,123,110,4,227,233,13,1,0
401468224,"Sacramento","Memphis",-2.5,110,125,4,236,235,-15,0,1
401468225,"Detroit","Atlanta",-6,112,136,4,229,248,-24,0,0
401468226,"Orlando","Charlotte",-1.5,113,93,4,221,206,20,0,0
401468227,"Boston","Cleveland",7,123,132,5,218,255,-9,0,0
