"home_team","away_team","home_score","away_score","home_ml","total_line","away_ml"
"NSH","SJ",4,1,162,5.5,-195
"SJ","NSH",2,3,-178,6,150
"NYR","TB",3,1,110,5.5,-130
"LA","LV",3,4,-105,6,-115
"WAS","BOS",2,5,122,6,-145
"CAR","CLB",4,1,235,6.5,-292
"MON","TOR",4,3,-267,6.5,215
"COL","CHI",5,2,328,6.5,-430
"ANA","SEA",5,4,100,5.5,-120
"EDM","VAN",5,3,158,6.5,-190
"PIT","ARI",6,2,320,6.5,-420
"PHI","NJ",5,2,-125,6,105
"BUF","OTT",4,1,-120,6.5,100
"NYI","FLA",1,3,-145,6,122
"TOR","WAS",3,2,180,7,-220
"MIN","NYR",3,7,105,6,-125
"NSH","DAL",1,4,115,5.5,-135
"CGY","COL",5,3,118,6.5,-140
"LV","CHI",1,0,285,6.5,-365
"LA","SEA",1,4,150,6,-178
"CLB","TB",2,5,-220,6,180
"DET","MON",3,0,140,6.5,-165
"WPG","NYR",4,1,122,6.5,-145
"SJ","CAR",1,2,-195,6,162
"BUF","FLA",3,4,-190,7,158
"PHI","VAN",3,2,-165,5.5,140
"BOS","ARI",6,3,278,6.5,-355
"NJ","DET",2,5,150,6.5,-178
"WAS","MON",3,1,240,6.5,-305
"TOR","OTT",3,2,196,6.5,-240
"PIT","TB",6,2,148,6.5,-175
"NYI","ANA",7,1,143,5.5,-170
"STL","CLB",5,2,215,6.5,-267
"MIN","LA",6,7,150,6,-178
"DAL","NSH",5,1,105,5.5,-125
"SEA","LV",2,5,-130,6.5,110
"SJ","CHI",2,5,118,6,-140
"EDM","CGY",3,4,115,7,-135
"NYR","ANA",6,4,205,6,-250
"TOR","ARI",2,4,360,7,-480
"BOS","FLA",5,3,-145,6.5,122
"MON","PIT",3,2,-260,7,210
"WAS","VAN",6,4,115,6,-135
"DET","LA",4,5,-145,6.5,122
"MIN","COL",3,6,-125,6.5,105
"DAL","WPG",4,1,122,6,-145
"SEA","CAR",1,5,-178,6.5,150
"NJ","ANA",4,2,162,6.5,-195
"OTT","BOS",7,5,115,6,-135
"CLB","VAN",4,3,-110,6,-110
"TB","PHI",2,3,250,6,-320
"NYI","SJ",5,2,162,5.5,-195
"EDM","BUF",2,4,192,7,-235
"CGY","LV",3,2,140,6.5,-165
"NSH","LA",3,4,150,6,-178
"FLA","PHI",4,3,285,6.5,-365
"COL","WPG",3,4,205,6.5,-250
"SEA","STL",3,4,-135,6,115
"BOS","ANA",2,1,180,6.5,-220
"MON","ARI",6,2,150,6.5,-178
"TOR","DAL",3,2,158,6.5,-190
"PIT","LA",6,1,162,6.5,-195
"CLB","NSH",5,3,-130,6.5,110
"NYR","SJ",2,3,235,6.5,-292
"OTT","WAS",5,2,-110,6.5,-110
"NYI","NJ",1,4,130,6.5,-155
"MIN","VAN",4,3,152,6.5,-180
"EDM","CAR",6,4,-105,6.5,-115
"CGY","BUF",3,6,235,6.5,-292
"LV","WPG",5,2,196,7,-240
"FLA","TB",2,3,-105,6.5,-115
"CHI","DET",4,3,-120,6.5,100
"COL","SEA",2,3,196,6.5,-240
"BOS","MIN",4,3,-110,6.5,-110
"NJ","SJ",2,1,175,6.5,-210
"EDM","STL",0,2,135,7,-160
"OTT","ARI",6,2,205,6.5,-250
"WPG","TOR",1,4,-165,6.5,140
"MON","DAL",2,5,-178,6,150
"WAS","LA",4,3,115,6.5,-135
"TB","NYI",5,3,110,6,-130
"CLB","PIT",3,6,-165,6.5,140
"NSH","PHI",1,3,180,6,-220
"VAN","BUF",1,5,135,6.5,-160
"LV","COL",2,3,110,6.5,-130
"CGY","CAR",3,2,130,6,-155
"CHI","SEA",5,4,-135,6,115
"DET","ANA",5,1,110,6.5,-130
"NYR","CLB",1,5,215,6.5,-267
"FLA","NYI",3,2,170,6.5,-205
"PHI","SJ",0,3,110,6,-130
"OTT","DAL",4,2,100,6.5,-120
"NJ","WAS",3,6,110,6.5,-130
